260625_SnO2_+50 - 1 - 6/25/2026 12:45:45 PM,,,260625_SnO2_+50 - 2 - 6/25/2026 12:46:55 PM,,,260625_SnO2_+50 - 3 - 6/25/2026 12:48:04 PM,,,260625_SnO2_+50 - 4 - 6/25/2026 12:49:13 PM,,,260625_SnO2_+50 - 5 - 6/25/2026 12:50:22 PM,,,260625_SnO2_+50 - 6 - 6/25/2026 12:51:31 PM,,,260625_SnO2_+50 - 7 - 6/25/2026 12:52:40 PM,,,260625_SnO2_+50 - 8 - 6/25/2026 12:53:49 PM,,,260625_SnO2_+50 - 9 - 6/25/2026 12:54:58 PM,,,260625_SnO2_+50 - 10 - 6/25/2026 12:56:07 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
"2,034.75",0.00,100.000,11.60,0.00,100.000,14.40,19.11,97.787,13.11,0.00,100.000,11.67,39.54,93.845,8.66,47.49,92.026,,,,10.29,46.30,93.833,15.26,0.00,100.000,9.07,55.92,90.720
"2,299.87",0.00,100.000,11.92,0.00,100.000,14.87,17.45,98.140,13.48,0.00,100.000,12.28,34.09,95.111,9.08,42.17,93.476,,,,10.77,41.32,95.015,15.67,0.00,100.000,9.49,50.07,92.339
"2,599.53",0.00,100.000,12.24,0.00,100.000,15.37,15.90,98.461,13.85,0.00,100.000,12.92,29.08,96.190,9.52,37.11,94.752,,,,11.27,36.58,96.061,16.09,0.00,100.000,9.92,44.41,93.775
"2,938.23",0.00,100.000,12.57,0.00,100.000,15.88,14.45,98.753,14.24,0.00,100.000,13.59,24.53,97.101,9.99,32.37,95.865,,,,11.79,32.13,96.980,16.52,0.00,100.000,10.38,39.00,95.036
"3,321.07",0.00,100.000,12.92,0.00,100.000,16.41,13.11,99.018,14.64,0.00,100.000,14.30,20.46,97.861,10.48,27.99,96.827,,,,12.34,28.01,97.780,16.97,0.00,100.000,10.86,33.93,96.133
"3,753.78",0.00,100.000,13.27,0.00,100.000,16.96,11.86,99.258,15.05,0.00,100.000,15.05,16.88,98.488,10.99,23.99,97.652,,,,12.91,24.22,98.473,17.42,0.00,100.000,11.36,29.24,97.078
"4,242.88",0.00,100.000,13.63,0.00,100.000,17.52,10.70,99.474,15.48,0.00,100.000,15.84,13.78,99.000,11.52,20.38,98.353,,,,13.51,20.78,99.067,17.89,0.00,100.000,11.88,24.95,97.885
"4,795.70",0.00,100.000,14.00,0.00,100.000,18.10,9.63,99.669,15.91,0.00,100.000,16.67,11.12,99.413,12.09,17.17,98.943,,,,14.13,17.69,99.573,18.37,0.00,100.000,12.43,21.09,98.567
"5,420.55",0.00,100.000,14.39,0.00,100.000,18.71,8.65,99.843,16.36,0.00,100.000,17.74,9.36,99.761,13.03,17.59,99.547,,,,14.79,14.94,100.000,18.86,0.00,100.000,13.01,17.66,99.138
"6,126.81",0.00,100.000,14.78,0.00,100.000,19.33,7.75,100.000,16.82,0.00,100.000,18.70,3.22,99.880,13.68,6.58,99.774,,,,16.07,0.00,100.000,19.37,0.00,100.000,13.60,14.64,99.611
"6,925.09",0.00,100.000,15.18,0.00,100.000,20.70,0.00,100.000,17.29,0.00,100.000,19.70,3.22,100.000,14.37,6.58,100.000,,,,16.83,0.00,100.000,19.89,0.00,100.000,14.23,12.02,100.000
"7,827.39",0.00,100.000,15.60,0.00,100.000,21.41,0.00,100.000,17.78,0.00,100.000,20.75,0.00,100.000,15.08,0.00,100.000,,,,17.63,0.00,100.000,20.43,0.00,100.000,15.35,0.00,100.000
"8,847.25",0.00,100.000,16.02,0.00,100.000,22.13,0.00,100.000,18.28,0.00,100.000,21.87,0.00,100.000,15.84,0.00,100.000,,,,18.47,0.00,100.000,20.98,0.00,100.000,16.07,0.00,100.000
"9,999.99",0.00,100.000,16.46,0.00,100.000,22.88,0.00,100.000,18.79,0.00,100.000,23.04,0.00,100.000,16.63,0.00,100.000,,,,19.34,0.00,100.000,21.54,0.00,100.000,16.83,0.00,100.000
