260625_SnO2_-10 - 1 - 6/25/2026 12:05:54 PM,,,260625_SnO2_-10 - 2 - 6/25/2026 12:07:04 PM,,,260625_SnO2_-10 - 3 - 6/25/2026 12:08:13 PM,,,260625_SnO2_-10 - 4 - 6/25/2026 12:09:22 PM,,,260625_SnO2_-10 - 5 - 6/25/2026 12:10:31 PM,,,260625_SnO2_-10 - 6 - 6/25/2026 12:11:40 PM,,,260625_SnO2_-10 - 7 - 6/25/2026 12:12:49 PM,,,260625_SnO2_-10 - 8 - 6/25/2026 12:13:59 PM,,,260625_SnO2_-10 - 9 - 6/25/2026 12:15:08 PM,,,260625_SnO2_-10 - 10 - 6/25/2026 12:16:18 PM,,
d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d),d(nm),G(d),C(d)
19.11,64.00,86.514,13.09,61.02,87.367,15.21,53.31,91.724,20.63,24.20,96.597,18.70,17.25,98.085,19.51,25.56,96.647,3.98,0.00,100.000,22.62,0.00,100.000,451.84,0.00,100.000,21.45,16.65,98.147
20.40,55.83,89.299,13.66,55.55,89.263,16.17,47.30,93.148,21.26,22.23,97.049,19.26,15.58,98.428,20.08,23.37,97.157,4.14,0.00,100.000,23.27,0.00,100.000,503.32,0.00,100.000,22.07,15.00,98.480
21.78,47.82,91.686,14.26,50.16,90.975,17.20,41.54,94.399,21.91,20.38,97.464,19.83,14.03,98.737,20.67,21.31,97.622,4.32,0.00,100.000,23.94,0.00,100.000,560.66,0.00,100.000,22.71,13.48,98.779
23.25,40.22,93.693,14.88,44.93,92.508,18.29,36.10,95.486,22.58,18.63,97.843,20.42,12.60,99.014,21.28,19.38,98.044,4.49,0.00,100.000,24.63,0.00,100.000,624.54,0.00,100.000,23.37,12.08,99.047
24.82,33.22,95.351,15.52,39.91,93.870,19.46,31.04,96.421,23.26,16.99,98.188,21.03,11.28,99.263,21.90,17.57,98.428,4.68,0.00,100.000,25.34,0.00,100.000,695.69,0.00,100.000,24.04,10.79,99.287
26.50,26.94,96.695,16.20,35.17,95.070,20.69,26.42,97.216,23.97,15.46,98.503,21.66,10.07,99.485,22.54,15.89,98.774,4.87,0.00,100.000,26.07,0.00,100.000,774.96,0.00,100.000,24.74,9.61,99.501
28.29,21.46,97.766,16.90,30.74,96.119,22.01,22.26,97.886,24.70,14.03,98.788,22.30,8.97,99.682,23.20,14.32,99.087,5.07,0.00,100.000,26.82,0.00,100.000,863.25,0.00,100.000,25.45,8.54,99.690
30.20,16.78,98.603,17.63,26.64,97.028,23.41,18.55,98.445,25.45,12.70,99.047,22.97,7.96,99.857,23.88,12.88,99.368,5.28,0.00,100.000,27.60,0.00,100.000,961.60,0.00,100.000,26.19,7.56,99.858
32.24,12.88,99.246,18.40,22.91,97.810,24.89,15.31,98.906,26.23,11.47,99.280,24.09,0.00,99.857,24.58,11.54,99.620,5.50,0.00,100.000,28.39,0.00,100.000,"1,071.16",0.00,100.000,27.01,0.00,99.858
35.47,9.38,99.714,19.20,19.54,98.476,26.48,12.50,99.282,27.03,10.34,99.490,24.81,6.48,100.000,25.82,9.70,99.831,5.73,0.00,100.000,29.21,0.00,100.000,"1,193.20",0.00,100.000,27.80,6.38,100.000
37.95,2.87,99.857,20.03,16.53,99.040,28.16,10.10,99.586,27.85,9.29,99.679,25.56,0.00,100.000,26.58,3.86,99.916,5.96,0.00,100.000,30.06,0.00,100.000,"1,329.14",0.00,100.000,28.61,0.00,100.000
40.60,2.87,100.000,21.51,16.11,99.590,30.10,8.17,99.832,28.70,8.33,99.849,26.33,0.00,100.000,27.37,3.86,100.000,6.21,0.00,100.000,30.92,0.00,100.000,"1,480.57",0.00,100.000,29.45,0.00,100.000
43.43,0.00,100.000,22.47,6.01,99.795,32.05,2.78,99.916,29.57,7.45,100.000,27.13,0.00,100.000,28.18,0.00,100.000,6.47,0.00,100.000,31.82,0.00,100.000,"1,649.26",0.00,100.000,30.31,0.00,100.000
46.46,0.00,100.000,23.46,6.01,100.000,34.14,2.78,100.000,30.66,0.00,100.000,27.94,0.00,100.000,29.02,0.00,100.000,6.73,0.00,100.000,32.73,0.00,100.000,"1,837.16",0.00,100.000,31.20,0.00,100.000
49.71,0.00,100.000,24.51,0.00,100.000,36.36,0.00,100.000,31.62,0.00,100.000,28.79,0.00,100.000,29.88,0.00,100.000,7.01,0.00,100.000,33.68,0.00,100.000,"2,046.47",0.00,100.000,32.11,0.00,100.000
53.18,0.00,100.000,25.59,0.00,100.000,38.73,0.00,100.000,32.60,0.00,100.000,29.66,0.00,100.000,30.77,0.00,100.000,7.30,0.00,100.000,34.65,0.00,100.000,"2,279.63",0.00,100.000,33.05,0.00,100.000
56.89,0.00,100.000,26.73,0.00,100.000,41.25,0.00,100.000,33.62,0.00,100.000,30.55,0.00,100.000,31.68,0.00,100.000,7.60,0.00,100.000,35.65,0.00,100.000,"2,539.35",0.00,100.000,34.02,0.00,100.000
